,Tx,sex_M1F2,time,status,Saline,MOE_50,MOE_100,MOE_200,MOE_400
mSaline-1,Saline-1,NA,9,1,1,,,,
mSaline-2,Saline-2,NA,12,1,1,,,,
mSaline-3,Saline-3,NA,11,1,1,,,,
mSaline-4,Saline-4,NA,10,1,1,,,,
mSaline-5,Saline-5,NA,10,1,1,,,,
mSaline-6,Saline-6,NA,10,1,1,,,,
mSaline-7,Saline-7,NA,10,1,1,,,,
mSaline-8,Saline-8,NA,9,1,1,,,,
mSaline-9,Saline-9,NA,13,1,1,,,,
mSaline-10,Saline-10,NA,11,1,1,,,,
mSaline-11,Saline-11,NA,11,1,1,,,,
mSaline-12,Saline-12,NA,9,1,1,,,,
m50-1,50-1,NA,21,1,,1,,,
m50-2,50-2,NA,21,1,,1,,,
m50-3,50-3,NA,24,1,,1,,,
m50-4,50-4,NA,27,1,,1,,,
m50-5,50-5,NA,14,1,,1,,,
m50-6,50-6,NA,14,1,,1,,,
m50-7,50-7,NA,21,1,,1,,,
m50-8,50-8,NA,21,1,,1,,,
m50-9,50-9,NA,27,1,,1,,,
m50-10,50-10,NA,20,1,,1,,,
m50-11,50-11,NA,21,1,,1,,,
m50-12,50-12,NA,21,1,,1,,,
m50-13,50-13,NA,32,1,,1,,,
m50-14,50-14,2,250,1,,1,,,
m50-15,50-15,1,35,1,,1,,,
m50-16,50-16,1,30,1,,1,,,
m50-17,50-17,1,187,1,,1,,,
m50-18,50-18,1,163,1,,1,,,
m50-19,50-19,2,91,1,,1,,,
m50-20,50-20,1,28,1,,1,,,
m50-21,50-21,1,69,1,,1,,,
m50-22,50-22,1,223,1,,1,,,
m50-23,50-23,1,54,1,,1,,,
m50-24,50-24,1,61,1,,1,,,
m50-25,50-25,1,42,1,,1,,,
m50-26,50-26,1,128,1,,1,,,
m100-1,100-1,NA,7,1,,,1,,
m100-2,100-2,NA,7,1,,,1,,
m100-3,100-3,NA,14,1,,,1,,
m100-4,100-4,NA,14,1,,,1,,
m100-5,100-5,NA,14,1,,,1,,
m100-6,100-6,NA,14,1,,,1,,
m100-7,100-7,NA,14,1,,,1,,
m100-8,100-8,NA,7,1,,,1,,
m100-9,100-9,NA,28,1,,,1,,
m100-10,100-10,NA,14,1,,,1,,
m100-11,100-11,NA,28,1,,,1,,
m100-12,100-12,NA,28,1,,,1,,
m100-13,100-13,NA,8,1,,,1,,
m100-14,100-14,NA,14,1,,,1,,
m100-15,100-15,NA,21,1,,,1,,
m100-16,100-16,NA,14,1,,,1,,
m100-17,100-17,NA,7,1,,,1,,
m100-18,100-18,NA,23,1,,,1,,
m100-19,100-19,NA,24,1,,,1,,
m100-20,100-20,NA,14,1,,,1,,
m100-21,100-21,NA,7,1,,,1,,
m100-22,100-22,NA,7,1,,,1,,
m100-23,100-23,NA,7,1,,,1,,
m100-24,100-24,NA,7,1,,,1,,
m100-25,100-25,NA,7,1,,,1,,
m100-26,100-26,NA,7,1,,,1,,
m100-27,100-27,2,240,1,,,1,,
m100-28,100-28,1,22,1,,,1,,
m100-29,100-29,1,85,1,,,1,,
m100-30,100-30,2,269,1,,,1,,
m100-31,100-31,2,315,1,,,1,,
m100-32,100-32,2,427,1,,,1,,
m100-33,100-33,2,33,1,,,1,,
m100-34,100-34,2,360,1,,,1,,
m100-35,100-35,1,40,1,,,1,,
m100-36,100-36,1,43,1,,,1,,
m100-37,100-37,1,61,1,,,1,,
m100-38,100-38,1,84,1,,,1,,
m100-39,100-39,1,68,1,,,1,,
m100-40,100-40,1,86,1,,,1,,
m100-41,100-41,1,82,1,,,1,,
m100-42,100-42,1,55,1,,,1,,
