tx,tissue,smn_fc
Heterozygous,Spinal Cord,2.057827571
Heterozygous,Spinal Cord,1.745290374
Heterozygous,Spinal Cord,2.712972675
Heterozygous,Spinal Cord,1.922902267
Saline,Spinal Cord,1.128257903
Saline,Spinal Cord,0.64367128
Saline,Spinal Cord,1.136133545
Saline,Spinal Cord,1.091937272
MOE50,Spinal Cord,1.01903805
MOE50,Spinal Cord,1.366439967
MOE50,Spinal Cord,1.22195761
MOE50,Spinal Cord,3.161131796
MOE100,Spinal Cord,1.249078607
MOE100,Spinal Cord,1.895781736
MOE100,Spinal Cord,1.683451338
MOE100,Spinal Cord,1.960277584
MOE200,Spinal Cord,1.361929498
MOE200,Spinal Cord,1.835523243
MOE200,Spinal Cord,2.124203827
MOE200,Spinal Cord,1.677135889
MOE400,Spinal Cord,2.184349505
MOE400,Spinal Cord,2.550765467
MOE400,Spinal Cord,2.578734821
MOE400,Spinal Cord,2.820256658
Heterozygous,Brain,0.784661462
Heterozygous,Brain,1.808908213
Heterozygous,Brain,1.122983027
Heterozygous,Brain,1.620165783
Saline,Brain,1.133755744
Saline,Brain,0.638539531
Saline,Brain,1.313946353
Saline,Brain,0.913758371
MOE50,Brain,0.482697167
MOE50,Brain,0.932098691
MOE50,Brain,0.77299386
MOE50,Brain,1.03117775
MOE100,Brain,1.354921811
MOE100,Brain,1.098841805
MOE100,Brain,1.260686064
MOE100,Brain,1.496793256
MOE200,Brain,1.35944387
MOE200,Brain,1.099249236
MOE200,Brain,1.437932859
MOE200,Brain,0.820337105
MOE400,Brain,2.00582431
MOE400,Brain,0.953195142
MOE400,Brain,1.307815175
MOE400,Brain,0.432233435
Heterozygous,Muscle,2.555900356
Heterozygous,Muscle,2.938668042
Heterozygous,Muscle,2.092310083
Heterozygous,Muscle,1.608506821
Saline,Muscle,0.771878124
Saline,Muscle,1.738012242
Saline,Muscle,1.004631354
Saline,Muscle,0.48547828
MOE50,Muscle,1.613868511
MOE50,Muscle,1.483133077
MOE50,Muscle,0.961888477
MOE50,Muscle,1.363910952
MOE100,Muscle,2.236823993
MOE100,Muscle,2.165911913
MOE100,Muscle,2.264784293
MOE100,Muscle,1.925306011
MOE200,Muscle,1.891252161
MOE200,Muscle,2.242596442
MOE200,Muscle,2.886076495
MOE200,Muscle,2.399182228
MOE400,Muscle,3.573834697
MOE400,Muscle,4.416651989
MOE400,Muscle,2.964626426
MOE400,Muscle,0.825005811
Heterozygous,Heart,2.870064636
Heterozygous,Heart,2.794702936
Heterozygous,Heart,2.172732399
Heterozygous,Heart,5.518509152
Saline,Heart,1.255268869
Saline,Heart,0.972011863
Saline,Heart,0.873667133
Saline,Heart,0.899052135
MOE50,Heart,2.244839162
MOE50,Heart,1.842069257
MOE50,Heart,1.00526553
MOE50,Heart,1.615838448
MOE100,Heart,0.952225758
MOE100,Heart,1.495273822
MOE100,Heart,1.917399243
MOE100,Heart,1.971078288
MOE200,Heart,2.069211631
MOE200,Heart,1.502006533
MOE200,Heart,1.724343026
MOE200,Heart,1.705521482
MOE400,Heart,1.928740091
MOE400,Heart,3.372612095
MOE400,Heart,2.001783146
MOE400,Heart,2.242672328
Heterozygous,Kidney,1.806969666
Heterozygous,Kidney,1.722934098
Heterozygous,Kidney,1.281156124
Heterozygous,Kidney,1.835987517
Saline,Kidney,0.952493524
Saline,Kidney,0.738254859
Saline,Kidney,1.374700857
Saline,Kidney,0.93455076
MOE50,Kidney,1.900039029
MOE50,Kidney,1.564389953
MOE50,Kidney,1.262734272
MOE50,Kidney,1.131551906
MOE100,Kidney,1.530462181
MOE100,Kidney,1.317579599
MOE100,Kidney,1.689640686
MOE100,Kidney,1.705416976
MOE200,Kidney,0.982965173
MOE200,Kidney,1.061726158
MOE200,Kidney,1.580252498
MOE200,Kidney,1.667885655
MOE400,Kidney,1.91437122
MOE400,Kidney,3.480674946
MOE400,Kidney,2.499278737
MOE400,Kidney,3.493189732
Heterozygous,Liver,1.559869447
Heterozygous,Liver,1.742129326
Heterozygous,Liver,1.190069369
Heterozygous,Liver,1.733486586
Saline,Liver,0.811627309
Saline,Liver,0.868050598
Saline,Liver,1.398018332
Saline,Liver,0.922303761
MOE50,Liver,1.412890867
MOE50,Liver,1.157400798
MOE50,Liver,1.553353702
MOE50,Liver,2.526859618
MOE100,Liver,1.396385133
MOE100,Liver,1.591426097
MOE100,Liver,2.668093022
MOE100,Liver,5.476772846
MOE200,Liver,2.042244041
MOE200,Liver,3.368413734
MOE200,Liver,6.161369452
MOE200,Liver,5.375713348
MOE400,Liver,3.657950508
MOE400,Liver,4.045415115
MOE400,Liver,5.485702367
MOE400,Liver,2.66690244
