ASO_dose,Time,ID,Cage,Weight,Tail_length
MOE50,P7,1,c1,5.8,2.2
MOE50,P14,2,c1,6.9,2.3
MOE50,P21,3,c1,6.1,2.4
MOE50,P28,4,c1,7,2.5
MOE50,P35,5,c1,8.7,2.5
MOE50,P42,6,c1,11.4,1.8
MOE50,P49,7,c1,12.3,0.7
MOE50,P56,8,c1,11.7,0
MOE50,P7,9,c1,5.2,2.1
MOE50,P14,10,c1,6.3,2.4
MOE50,P21,11,c1,5.8,2.3
MOE50,P28,12,c1,4.7,2.3
MOE50,P7,13,c2,3.3,2
MOE50,P14,14,c2,5,2.4
MOE50,P21,15,c2,6.4,2.5
MOE50,P28,16,c2,5,0.5
MOE50,P35,17,c2,9,2.5
MOE50,P42,18,c2,11.9,2.4
MOE50,P7,19,c2,2.9,1.8
MOE50,P14,20,c2,3.3,2
MOE50,P21,21,c2,6.4,2.5
MOE50,P7,22,c2,2.9,1.8
MOE50,P14,23,c2,4.8,2.3
MOE50,P21,24,c2,3.7,2.5
MOE50,P7,25,c2,3.2,2
MOE50,P14,26,c2,3.8,2.2
MOE50,P7,27,c3,3,1.9
MOE50,P14,28,c3,3.9,2.1
MOE50,P21,29,c3,3.5,2.2
MOE50,P28,30,c3,3.5,2.2
MOE50,P7,31,c3,3.1,1.8
MOE50,P14,32,c3,3,2.1
MOE50,P7,33,c4,3.2,1.8
MOE50,P14,34,c4,5,2.4
MOE50,P21,35,c4,4.6,2.3
MOE50,P7,36,c4,2.8,1.9
MOE50,P7,37,C5,3.5,1.9
MOE50,P14,38,C5,4.4,2.4
MOE50,P21,39,C5,5.7,2.8
MOE50,P28,40,C5,8.1,3.1
MOE50,P35,41,C5,10.4,3.1
MOE50,P42,42,C5,12,3
MOE50,P49,43,C5,14,2.8
MOE50,P56,44,C5,12.7,0
MOE50,P63,45,C5,11.2,0
MOE50,P7,46,C5,3.3,1.7
MOE50,P14,47,C5,5.4,2.7
MOE50,P21,48,C5,3.9,2.6
MOE50,P7,49,C5,2.4,1.6
MOE50,P14,50,C5,4.2,2.3
MOE50,P7,51,C5,3,1.9
MOE50,P14,52,C5,3.4,2.6
MOE50,P7,53,C5,3.2,1.8
MOE50,P7,54,c6,4.7,2.4
MOE50,P14,55,c6,7.8,2.7
MOE50,P21,56,c6,7.8,3.2
MOE50,P28,57,c6,12,3.2
MOE50,P35,58,c6,11.3,3.3
MOE50,P42,59,c6,14,3.2
MOE50,P49,60,c6,16.6,2.8
MOE50,P56,61,c6,19.8,0
MOE50,P63,62,c6,18.2,0
MOE50,P70,63,c6,18.7,0
MOE50,P77,64,c6,21.2,0
MOE50,P84,65,c6,20.7,0
MOE50,P91,66,c6,21.4,0
MOE50,P98,67,c6,20.6,0
MOE50,P7,68,c6,4.1,2.4
MOE50,P14,69,c6,7,2.7
MOE50,P21,70,c6,9.4,3.3
MOE50,P28,71,c6,16.2,3.3
MOE50,P35,72,c6,12.5,3.2
MOE50,P42,73,c6,15,3.3
MOE50,P49,74,c6,19.5,1.2
MOE50,P56,75,c6,17.8,0
MOE50,P63,76,c6,19.8,0
MOE50,P70,77,c6,20.8,0
MOE50,P77,78,c6,19.8,0
MOE50,P84,79,c6,20.8,0
MOE50,P91,80,c6,20.4,0
MOE50,P98,81,c6,20.9,0
MOE50,P7,82,c6,3.9,2.2
MOE50,P14,83,c6,7.8,3.1
MOE50,P21,84,c6,9.1,3.6
MOE50,P28,85,c6,13.8,3.7
MOE50,P35,86,c6,15.1,3.7
MOE50,P42,87,c6,15.9,3.5
MOE50,P49,88,c6,17.4,0
MOE50,P56,89,c6,17.3,0
MOE50,P63,90,c6,20.7,0
MOE50,P70,91,c6,19.4,0
MOE50,P77,92,c6,20.3,0
MOE50,P84,93,c6,19.6,0
MOE50,P91,94,c6,18.6,0
MOE50,P98,95,c6,20.4,0
MOE50,P7,96,c7,3.4,1.9
MOE50,P14,97,c7,7.4,3
MOE50,P21,98,c7,10.7,3.4
MOE50,P28,99,c7,12.6,3.3
MOE50,P35,100,c7,12.4,2.7
MOE50,P42,101,c7,14,2.8
MOE50,P49,102,c7,15,2.8
MOE50,P56,103,c7,15.2,2.8
MOE50,P63,104,c7,16.1,2.6
MOE50,P70,105,c7,16.7,0
MOE50,P77,106,c7,17,0
MOE50,P84,107,c7,16.8,0
MOE50,P91,108,c7,17.1,0
MOE50,P98,109,c7,17.9,0
MOE50,P7,110,c7,2.8,1.8
MOE50,P14,111,c7,5,2.9
MOE50,P21,112,c7,7.5,2.7
MOE50,P28,113,c7,8.7,2.7
MOE50,P35,114,c7,14.1,3.3
MOE50,P7,115,c7,2.5,1.7
MOE50,P14,116,c7,2.5,2.2
MOE50,P7,117,c7,2.4,1.5
MOE50,P14,118,c7,2.4,1.8
MOE50,P7,119,c7,2.8,1.6
MOE50,P14,120,c7,2.4,2
MOE50,P7,121,c8,3.9,1.8
MOE50,P14,122,c8,4.6,2.1
MOE50,P21,123,c8,6.5,2.7
MOE50,P28,124,c8,11,2.8
MOE50,P35,125,c8,12,2.8
MOE50,P42,126,c8,14.9,3
MOE50,P49,127,c8,16.5,3
MOE50,P56,128,c8,17.2,2.8
MOE50,P63,129,c8,17.2,3
MOE50,P70,130,c8,16.7,0
MOE50,P77,131,c8,17.3,0
MOE50,P84,132,c8,18.1,3
MOE50,P91,133,c8,18.7,2.7
MOE50,P98,134,c8,18.7,2.7
MOE50,P7,135,c8,3.4,1.7
MOE50,P14,136,c8,4.9,2
MOE50,P21,137,c8,6.7,3
MOE50,P28,138,c8,10.4,2.9
MOE50,P35,139,c8,13.1,3
MOE50,P42,140,c8,16.3,2.7
MOE50,P49,141,c8,16.3,2.9
MOE50,P56,142,c8,16,3
MOE50,P63,143,c8,16.6,2.9
MOE50,P70,144,c8,18.7,3
MOE50,P77,145,c8,18,3
MOE50,P84,146,c8,17.1,0
MOE50,P91,147,c8,17.8,0
MOE50,P98,148,c8,19.7,0
MOE50,P7,149,c8,3.4,1.8
MOE50,P14,150,c8,5.7,2.45
